path,status,source,reason
.aider.conf.yml,Active,merged/generated final,Current recommended file for repository use.
.claude/agents/codebase-mapper.md,Active,merged/generated final,Current recommended file for repository use.
.claude/agents/reviewer.md,Active,merged/generated final,Current recommended file for repository use.
.claude/settings.json,Active,merged/generated final,Current recommended file for repository use.
.claude/skills/code-review.md,Active,merged/generated final,Current recommended file for repository use.
.claude/skills/debug-one-bug.md,Active,merged/generated final,Current recommended file for repository use.
.claude/skills/research-to-code.md,Active,merged/generated final,Current recommended file for repository use.
.claudeignore,Active,merged/generated final,Current recommended file for repository use.
.clinerules,Active,merged/generated final,Current recommended file for repository use.
.cursorrules,Active,merged/generated final,Current recommended file for repository use.
.editorconfig,Active,merged/generated final,Current recommended file for repository use.
.env.example,Example,merged/generated,"Used for learning, testing, or safe examples."
.github/ISSUE_TEMPLATE/bug-report.md,Active,merged/generated final,Current recommended file for repository use.
.github/ISSUE_TEMPLATE/coding-task.md,Active,merged/generated final,Current recommended file for repository use.
.github/ISSUE_TEMPLATE/multi-agent-task.md,Active,merged/generated final,Current recommended file for repository use.
.github/ISSUE_TEMPLATE/readiness-gap.md,Active,merged/generated final,Current recommended file for repository use.
.github/ISSUE_TEMPLATE/sequential-agent-task.md,Active,merged/generated final,Current recommended file for repository use.
.github/copilot-instructions.orchestration-original.md,Active,merged/generated final,Current recommended file for repository use.
.github/instructions/frontend.instructions.md,Active,merged/generated final,Current recommended file for repository use.
.github/instructions/tests.instructions.md,Active,merged/generated final,Current recommended file for repository use.
.github/workflows/ci.yml,Active,merged/generated final,Current recommended file for repository use.
.github/workflows/security.yml,Active,merged/generated final,Current recommended file for repository use.
.github/workflows/ungasis-readiness-ci.yml,Active,merged/generated final,Current recommended file for repository use.
.gitignore,Active,merged/generated final,Current recommended file for repository use.
.gitignore-additions.txt,Active,merged/generated final,Current recommended file for repository use.
01_ORIGINAL_ZIP_BACKUPS/multi-agent-orchestration-kit-v4.zip,Backup,original zip backup,Preserved for safety and traceability.
01_ORIGINAL_ZIP_BACKUPS/token-efficiency-agent-os-v4.zip,Backup,original zip backup,Preserved for safety and traceability.
01_ORIGINAL_ZIP_BACKUPS/ungasis-production-readiness-pack-v1.zip,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/.github/ISSUE_TEMPLATE/multi-agent-task.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/.github/ISSUE_TEMPLATE/sequential-agent-task.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/.github/copilot-instructions.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/.github/workflows/agent-state-machine.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/.vscode/settings.json,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/README.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/config/agent-chain.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/config/agent-scoring.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/config/circuit-breaker.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/config/graceful-degradation.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/config/kill-switch.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/config/orchestration-policy.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/config/progress-detection.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/config/sequential-defaults.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/config/token-budget.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/docs/FAILURE_TAXONOMY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/docs/ORCHESTRATION_ARCHITECTURE.md,Backup,original zip backup,Preserved for safety and traceability.
