count,domain,files,source
137,champions_simple,,data_zip
114,items_simple,,data_zip
53,runes_simple,,data_zip
10,spells_simple,,data_zip
10,builds_simple,,data_zip
131,champions_wr_parts,3,data_zip
12,champions_wr_corrections,1,data_zip
143,wr_builds,1,data_zip
8,wr_boots_enchants,1,data_zip
103,wr_matchups,4,data_zip
103,wr_synergies,4,data_zip
135,champions,5,wr_opus_zip
148,items,3,wr_opus_zip
53,runes,1,wr_opus_zip
9,spells,1,wr_opus_zip
72,builds,1,wr_opus_zip
20,team_comps,1,wr_opus_zip
110,counter_engine,1,wr_opus_zip
57,synergy_engine,1,wr_opus_zip
138,champions,1,chatgpt_v0_6_0_chunk10_final
690,abilities,1,chatgpt_v0_6_0_chunk10_final
116,items,1,chatgpt_v0_6_0_chunk10_final
53,runes,1,chatgpt_v0_6_0_chunk10_final
9,spells,1,chatgpt_v0_6_0_chunk10_final
138,meta_builds,1,chatgpt_v0_6_0_chunk10_final
270,archetype_builds,1,chatgpt_v0_6_0_chunk10_final
0,synergies_public,1,chatgpt_v0_6_0_chunk10_final
0,counters_public,1,chatgpt_v0_6_0_chunk10_final
