champion_id,legacy_slot,canonical_slot,opus_legacy_abilities_name,v0_7_canonical_name,recommended_action
ambessa,Q,q,Cunning Sweep,Cunning Sweep / Sundering Slam,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
fizz,P,passive,Nimble Fighter,Seastone Trident,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
fizz,W,w,Seastone Trident,Rending Wave,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
gwen,P,passive,Thousand Cuts,A Thousand Cuts,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
jayce,Q,q,Shock Blast / To The Skies!,To the Skies! / Shock Blast,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
jayce,W,w,Hyper Charge / Lightning Field,Lightning Field / Hyper Charge,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
jayce,E,e,Acceleration Gate / Thundering Blow,Thundering Blow / Acceleration Gate,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
kaisa,E,e,Supercharger,Supercharge,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
karma,P,passive,Gathering Fire,Mantra,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
karma,R,r,Mantra,Transcendent Embrace,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
katarina,Q,q,Bouncing Blades,Bouncing Blade,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
lee_sin,Q,q,Sonic Wave/Resonating Strike,Sonic Wave / Resonating Strike,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
lee_sin,W,w,Safeguard/Iron Will,Safeguard,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
lee_sin,E,e,Tempest/Cripple,Tempest / Cripple,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
lulu,P,passive,Pix,"Pix, Faerie Companion",do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
mel,P,passive,Reverberation,Searing Brilliance,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
mel,Q,q,Glaring Spell,Radiant Volley,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
mel,W,w,Shimmering Veil,Rebuttal,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
mel,E,e,Ray of Annihilation,Solar Snare,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
mel,R,r,Blinding Brilliance,Golden Eclipse,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
nidalee,Q,q,Human Q,Javelin Toss / Takedown,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
nidalee,W,w,Human W,Bushwhack / Pounce,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
nidalee,E,e,Human E,Primal Surge / Swipe,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
norra,P,passive,Yuumi's Blessing,Allowed-Source Refresh Required: Passive,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
norra,Q,q,Tail Whip,Allowed-Source Refresh Required: Q,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
norra,W,w,Zoomies,Allowed-Source Refresh Required: W,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
norra,E,e,Channel,Allowed-Source Refresh Required: E,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
norra,R,r,Mega Womp,Allowed-Source Refresh Required: R,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
orianna,Q,q,Command,Command: Attack,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
orianna,W,w,Command,Command: Dissonance,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
orianna,E,e,Command,Command: Protect,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
orianna,R,r,Command,Command: Shockwave,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
rammus,P,passive,Spiked Shell,Rolling Armordillo,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
rell,W,w,W1,Ferromancy: Crash Down / Mount Up,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
rell,E,e,Attract and Repel,Full Tilt,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
shen,Q,q,Spirit Blade,Twilight Assault,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
smolder,E,e,Flap Flap Flap,"Flap, Flap, Flap",do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
smolder,R,r,MOOOOM!,MMOOOMMMM!,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
teemo,P,passive,Guerrilla Warfare,Toxic Shot,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
teemo,E,e,Toxic Shot,Guerrilla Warfare,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
velkoz,R,r,Lifeform Disintegration Ray,Life Form Disintegration Ray,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
vi,P,passive,Blast Shield,Denting Blows,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
vi,W,w,Denting Blows,Blast Shield,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
vi,E,e,Relentless Force,Excessive Force,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
vi,R,r,Cease and Desist,Assault and Battery,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
wukong,P,passive,Stone Skin,Crushing Blows,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
wukong,Q,q,Crushing Blow,Golden Staff,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
zoe,P,passive,More Sparkles,More Sparkles!,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
zoe,Q,q,Paddle Star,Paddle Star!,do_not_use_legacy_abilities_dict_for_identity_without_slot_remap_review
