file,root_type,wrapper_key,record_count,top_level_keys,record_keys,sha256,bytes
builds.json,list,,10,,name:10;role:10;playstyle:10;items:10;runes:10;spells:10,7ce72809cdd0b2383974a1b95167728803b22dfe10be84f40e60d2ff405a73bf,4514
champions.json,list,,137,,id:137;name:137;classes:137;roles:137;tier:137;rangeType:137;resource:137;adaptiveType:137;style:137;image:137;splash:137,efd6b6f7b10c3bd7d55064b1c928f0a29ae46011b037cc3f5dcd46263e68ed44,56101
counters.json,list,,50,,champion:50;role:50;counters:50;note:1,06930eca849b6d4905d72d73830cc0a870f7e92aa5ff3c866456b6fb05985e57,30778
items.json,dict,items,114,"meta,items",id:114;name:114;category:114;tier:114;cost:114;stats:114;passive:114;image:114;passive_name:88;passive_brief:88;passive_full:88;best_for:88;tags:88;subcategory:88;features:88;synergy_tags:87;graph_edges:87;pick_rate:84;counter_tags:60;anti_synergy:8,0813ee92e73e00f9da0f0d32a1ed9996b0fa69eee657881425f125924c979c82,287128
meta.json,dict,banPriorities,6,"patch,season,metaIdentity,avgGameLength,banPriorities,patchChanges",rank:6;name:6;rate:6;reason:6,2a1705fc33b474a0cc321f0ecdac43d45f19eebbf675d8183e86582c8192b2c2,1892
runes.json,list,,53,,id:53;name:53;type:53;path:53;slot:53;description:53;tier:53;image:53;brief:53;full_description:53;cooldown:53;best_for:53,81296550a4041fe9ab88171ab88d3fca072ad6a56a5f74c80fab26a5bd19a09d,35895
spells.json,list,,10,,id:10;name:10;effect:10;cooldown:10;map:10;bestOn:10;image:10;source:10,f806a1f5ff950fda0ddea58852c4bddbb3a070c5fb12a013cb60e5b3e4ba78e5,3960
synergies.json,dict,duo_lane,57,"patch,updated,duo_lane,team_comps",support:57;adc:57;score:57;tag:57;note:57,697bbc70f731442d822b5af44c7ea49f0c93a9067876c10684239c060c84bbf4,13639
wr_boots_enchants.json,dict,boots,8,"meta,boots,enchantments,trinkets",id:8;name:8;category:8;subcategory:8;tags:8;cost:8;stats:8;passive_name:8;brief:8;full:8;embedding_text:8;best_for:8;graph_node:8;graph_edges:8;gnn_features:8;realtime:8;features:8;events:8;rules:8;time_series:8,494e9751716d76d8dddc9581b6b99d242eb99d8de87b4b7baacda3c45df99c6c,108001
wr_builds.json,dict,builds,143,"meta,builds",champion_id:143;build_name:143;archetype:143;rune_page:143;spells:143;items:143;item_order:143;situational:143;math:143;playstyle:143;power_curve:143,96902f0884335a2d2b1f5b56297b989f7cc781876ffb28b9865431d2b839b0eb,216731
