expected_file,reference_count,exists_in_data_zip,record_count,root_or_wrapper
builds.json,5,True,,
champions.json,24,True,,
counters.json,8,True,,
items.json,15,True,114,items
items_unified_v2.json,3,False,,
matchups.json,1,False,,
meta.json,1,True,6,banPriorities
runes.json,15,True,,
spells.json,11,True,,
synergies.json,8,True,57,duo_lane
wr_boots_enchants.json,3,True,8,boots
wr_builds.json,3,True,143,builds
wr_champions_corrections.json,2,True,9,champions_to_add
wr_champions_part1.json,4,True,34,champions
wr_champions_part2.json,4,True,41,champions
wr_champions_part3.json,4,True,56,champions
wr_counters_items_runes.json,3,True,12,item_counters
wr_items.json,3,False,,
wr_matchups_adc.json,2,True,22,matchups
wr_matchups_baron.json,2,True,27,matchups
wr_matchups_mid.json,2,True,28,matchups
wr_matchups_support.json,2,True,26,matchups
wr_meta.json,1,True,8,meta_archetypes
wr_runes.json,3,True,13,keystones
wr_spells.json,4,True,10,spells
wr_synergies_adc.json,2,True,22,synergies
wr_synergies_baron.json,2,True,27,synergies
wr_synergies_mid.json,2,True,28,synergies
wr_synergies_support.json,2,True,26,synergies
