file,module
app/api/build/route.ts,next/server
app/api/build/route.ts,@/lib/constants
app/api/chat/route.ts,ai
app/api/chat/route.ts,@ai-sdk/groq
app/api/chat/route.ts,@ai-sdk/openai
app/api/chat/route.ts,@/lib/context-assembler
app/api/chat/route.ts,@/lib/build-engine
app/api/chat/route.ts,@/lib/build-modifier
app/api/chat/route.ts,@/data/build-variants
app/api/chat/route.ts,@/lib/intent-extractor
app/api/draft/route.ts,next/server
app/api/draft/route.ts,@/lib/constants
app/api/reasoning/route.ts,next/server
app/api/reasoning/route.ts,@/lib/reasoning-validator
app/api/reasoning/route.ts,@/lib/relationship-engine
app/api/review/route.ts,next/server
app/api/review/route.ts,@/lib/constants
app/builds/page.tsx,react
app/builds/page.tsx,@/components/ui/card
app/builds/page.tsx,@/components/ui/badge
app/builds/page.tsx,@/lib/utils
app/builds/page.tsx,@/lib/use-game-data
app/builds/page.tsx,@/components/app/smart-image
app/builds/page.tsx,@/components/app/motion-card
app/builds/page.tsx,@/components/app/stagger-grid
app/builds/page.tsx,@/components/app/shimmer
app/climb/page.tsx,next/link
app/coach/error.tsx,react
app/coach/error.tsx,lucide-react
app/coach/page.tsx,react
app/coach/page.tsx,@/components/ui/input
app/coach/page.tsx,@/components/ui/card
app/coach/page.tsx,@/lib/utils
app/coach/page.tsx,@/components/app/markdown-message
app/coach/page.tsx,@/components/build/BuildView
app/coach/page.tsx,@/stores/chat-store
app/draft/page.tsx,react
app/draft/page.tsx,@/components/ui/card
app/draft/page.tsx,@/components/ui/card
app/draft/page.tsx,@/components/ui/badge
app/draft/page.tsx,@/components/ui/input
app/draft/page.tsx,@/lib/utils
app/draft/page.tsx,@/lib/use-game-data
app/draft/page.tsx,@/components/app/hex-portrait
app/draft/page.tsx,@/components/app/tier-badge
app/draft/page.tsx,@/components/app/motion-card
app/draft/page.tsx,@/components/app/stagger-grid
app/draft/page.tsx,@/components/app/shimmer
app/draft/page.tsx,framer-motion
app/error.tsx,react
app/error.tsx,lucide-react
app/items/page.tsx,react
app/items/page.tsx,@/components/ui/input
app/items/page.tsx,@/components/ui/badge
app/items/page.tsx,@/components/ui/card
app/items/page.tsx,@/lib/utils
app/items/page.tsx,@/lib/use-game-data
app/items/page.tsx,@/components/app/smart-image
app/items/page.tsx,@/components/app/motion-card
app/items/page.tsx,@/components/app/stagger-grid
app/items/page.tsx,@/components/app/shimmer
app/layout.tsx,next
app/layout.tsx,./globals.css
app/layout.tsx,@/components/app/theme-provider
app/layout.tsx,@/components/app/app-shell
app/layout.tsx,@/components/app/page-transition
app/page.tsx,next/link
app/page.tsx,@/components/ui/card
