canonical_id,opus_raw_id,in_uploaded_opus_merged,in_v0_7_canonical,in_v0_7_public_runtime,id_status,candidate_strategy_field_count,candidate_mechanic_claim_count,ability_by_key_name_mismatch_count,legacy_abilities_dict_name_mismatch_count,risk_flags
aatrox,aatrox,True,True,True,matched,8,21,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
ahri,ahri,True,True,True,matched,8,28,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
akali,akali,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
akshan,akshan,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
alistar,alistar,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
ambessa,ambessa,True,True,True,matched,7,0,0,1,contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
amumu,amumu,True,True,True,matched,7,0,0,0,contains_strategy_or_meta_overlay_candidates
annie,annie,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
ashe,ashe,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
aurelion_sol,aurelion_sol,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
aurora,aurora,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
bard,bard,True,True,True,matched,7,0,0,0,contains_strategy_or_meta_overlay_candidates
blitzcrank,blitzcrank,True,True,True,matched,7,0,0,0,contains_strategy_or_meta_overlay_candidates
brand,brand,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
braum,braum,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
caitlyn,caitlyn,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
camille,camille,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
corki,corki,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
darius,darius,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
diana,diana,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
dr_mundo,dr_mundo,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
draven,draven,True,True,True,matched,7,0,0,0,contains_strategy_or_meta_overlay_candidates
ekko,ekko,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
evelynn,evelynn,True,True,True,matched,7,2,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
ezreal,ezreal,True,True,True,matched,8,28,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
fiddlesticks,fiddlesticks,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
fiora,fiora,True,True,True,matched,7,3,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
fizz,fizz,True,True,True,matched,7,0,0,2,contains_strategy_or_meta_overlay_candidates;legacy_abilities_dict_identity_mismatch
galio,galio,True,True,True,matched,7,1,0,0,contains_exact_unverified_mechanics;contains_strategy_or_meta_overlay_candidates
