file,env,line
app/api/chat/route.ts,GROQ_API_KEY_1,27
app/api/chat/route.ts,GROQ_API_KEY_2,28
app/api/chat/route.ts,GROQ_API_KEY_3,29
app/api/chat/route.ts,GROQ_API_KEY_4,30
app/api/chat/route.ts,OPENROUTER_API_KEY_1,34
app/api/chat/route.ts,OPENROUTER_API_KEY_2,35
app/api/chat/route.ts,OPENROUTER_API_KEY_3,36
app/api/chat/route.ts,OPENROUTER_API_KEY_4,37
app/api/chat/route.ts,OPENROUTER_API_KEY,38
app/api/reasoning/route.ts,CEREBRAS_API_KEY_1,29
app/api/reasoning/route.ts,CEREBRAS_API_KEY_2,30
app/api/reasoning/route.ts,CEREBRAS_API_KEY_3,31
app/api/reasoning/route.ts,CEREBRAS_API_KEY_4,32
app/api/reasoning/route.ts,CEREBRAS_API_KEY_5,33
app/api/reasoning/route.ts,GROQ_API_KEY_1,49
app/api/reasoning/route.ts,GROQ_API_KEY_2,50
app/api/reasoning/route.ts,GROQ_API_KEY_3,51
app/api/reasoning/route.ts,GROQ_API_KEY_4,52
app/api/reasoning/route.ts,GROQ_API_KEY_5,53
app/api/reasoning/route.ts,GOOGLE_AI_KEY_1,72
app/api/reasoning/route.ts,GOOGLE_AI_KEY_2,73
app/api/reasoning/route.ts,GOOGLE_AI_KEY_3,74
app/api/reasoning/route.ts,GOOGLE_AI_KEY_4,75
app/api/reasoning/route.ts,GOOGLE_AI_KEY_5,76
app/api/reasoning/route.ts,OPENROUTER_API_KEY_1,86
app/api/reasoning/route.ts,MISTRAL_API_KEY_1,111
app/api/reasoning/route.ts,MISTRAL_API_KEY_2,112
app/api/reasoning/route.ts,MISTRAL_API_KEY_3,113
app/api/reasoning/route.ts,MISTRAL_API_KEY_4,114
app/api/reasoning/route.ts,TOGETHER_API_KEY_1,129
app/api/reasoning/route.ts,TOGETHER_API_KEY_2,130
app/api/reasoning/route.ts,TOGETHER_API_KEY_3,131
app/api/reasoning/route.ts,TOGETHER_API_KEY_4,132
app/api/reasoning/route.ts,TOGETHER_API_KEY_5,133
app/coach/error.tsx,NODE_ENV,64
app/error.tsx,NODE_ENV,41
lib/smart-router.ts,GROQ_API_KEY_1,89
lib/smart-router.ts,GROQ_API_KEY_2,90
lib/smart-router.ts,GROQ_API_KEY_3,91
lib/smart-router.ts,GROQ_API_KEY_4,92
lib/smart-router.ts,OPENROUTER_API_KEY_1,97
lib/smart-router.ts,OPENROUTER_API_KEY_2,98
lib/smart-router.ts,OPENROUTER_API_KEY_3,99
lib/smart-router.ts,OPENROUTER_API_KEY_4,100
lib/smart-router.ts,OPENROUTER_API_KEY,101
